Total.Income,Ave.Stroke,Ave.putting,Ave.birdie,GIR,Par.save,Par.break,Recovery.rate
29467603,71.49,31.15,20.63,76.98,84.39,21.1,51.15
28437500,71.13,31.08,19.23,78.21,86.4,19.44,55.63
33812522,71.09,30.97,18.27,78.28,87.96,18.35,62.4
24250246,71.4,30.46,16.98,73.94,87.58,17.21,63.66
18863400,71.3,31.17,17.07,79.05,88.09,17.2,62.94
18854717,71.64,31,18.86,75.65,84.5,19.27,52.11
16853859,71.66,30.81,16,74.77,86.75,16.06,63.93
15476697,71.33,30.29,18.45,74.01,86.59,18.45,63.88
78779300,69.12,30.12,26.47,83.33,90.85,26.47,66.67
16068519,72.11,30.93,16.94,73.37,83.88,17.21,51.91
15706353,72.45,29.96,15.03,66.52,83.76,15.03,61.06
12893190,71.68,30.59,18.26,74.33,85.19,18.33,55.72
12637129,71.67,31.08,16.48,76.25,86.46,16.54,59.41
14721090,71.32,30.9,19,76.97,86.47,19,57.34
13470444,71.72,30.86,16.82,74.65,86.31,16.98,58.02
11615575,71.86,31.07,16.41,74.58,86.01,16.6,61.18
10940217,71.99,30.35,17,71.89,85.54,17.14,60
67805000,70.75,29.06,18.95,69.79,88.89,18.95,66.67
19033109,72.25,30.25,16.27,68.85,83.23,16.37,60.51
10829677,72.15,30.39,17.68,70.87,83.74,17.82,56.28
11809671,72.15,30.73,17.56,72.77,83.54,17.83,58.69
15604111,72.88,30.24,15.17,67.26,82.59,15.34,56.81
12311121,72.39,30.25,16.44,69.44,83.87,16.44,60.1
9233512,72.01,30.46,15.15,71.1,85.98,15.15,63.16
9494945,71.96,31.31,15.46,76.37,86.35,15.53,58.36
11905837,72.62,30.66,16.52,71.2,82.6,16.52,55.08
9641504,72.69,32.17,16.04,76.88,82.64,16.04,48.65
8799794,71.71,30.04,16.03,71,86.75,16.17,63.43
8238700,72.11,30.1,16.6,69.95,84.67,16.8,58.35
8905000,72.29,30.85,15.89,72.36,84.11,15.96,59.29
11362604,73.43,29.99,14.81,64.59,81.11,14.89,56.69
7732738,72.34,30.5,14.31,70.28,85.35,14.38,62.15
7573325,72.42,31.26,16.2,73.21,82.87,16.34,54.57
6909067,72.53,30.61,14.73,69.48,84.34,14.73,61.84
8117147,72.61,30.69,14.19,69.59,83.63,14.41,61.23
160000000,69.25,31,26.39,88.89,88.89,26.39,50
6821200,72.82,31.17,15.24,71.54,82.32,15.51,52.14
14961722,71.8,30.66,16.23,72.52,85.38,16.23,53.01
9913870,73.18,30.96,13.89,68.23,81.25,13.89,52.96
8172560,72.29,30.33,16.33,69.7,84.09,16.41,62.78
8498739,73.31,31.23,15.26,69.56,80.22,15.33,51.58
10782564,72.07,30.33,17.87,70.77,83.7,17.87,58.68
6358428,72.55,31.64,17.36,77.43,83.4,17.43,46.15
7187179,72.24,30.42,15.35,69.91,84.49,15.59,60.26
6523258,72.99,31.3,14.1,70.69,81.94,14.31,57.11
6559580,72.29,31.15,15.91,73.99,84.09,15.99,53.07
6208919,72.85,30.53,13.71,67.02,83.61,13.71,60.98
5363544,73.21,30.49,14.55,66.47,81.94,14.55,56.02
5362196,73.11,30.37,12.57,64.88,82.8,12.57,60.08
5034758,72.68,30.4,14.48,68.65,83.93,14.55,63.5
5501642,72.33,30.85,15.33,71.48,84.81,15.33,56.62
6398472,73.33,31.45,14.33,71.13,81.8,14.55,53.42
6805818,73.2,31.46,11.78,70.95,82.67,11.93,58.14
6315353,72.75,30.34,15.47,67.45,82.99,15.47,56.8
4614868,73,30.13,14.51,65.97,82.43,14.72,60.41
4972959,73.21,31.43,12.18,70.68,83.33,12.18,54.21
4441898,73,31.59,13.52,70.21,81.99,13.65,55.96
6071611,73.66,31.11,13.93,67.84,79.97,14.08,54.01
5334314,73.62,31.03,13.93,67.39,80.23,13.93,51.99
4466783,73.36,30.07,13.81,63.47,80.71,13.96,56.46
5016427,73.32,32.12,15.02,73.57,79.5,15.24,48.3
4414676,73.57,31.31,14.11,69.67,80.86,14.19,50.99
4666274,73.45,30.66,12.69,65.54,81.53,12.84,55.34
4906678,73.08,30.89,13.05,69.57,83.75,13.05,58.99
4770499,73.69,30.31,12.5,63.32,80.72,12.66,58.35
5212733,73.73,30.78,12.94,65.01,80.6,13.1,58.53
7511265,73.3,30.8,14.88,69.64,85.12,14.88,64.71
4442128,73.97,31.16,12.79,65.75,78.84,12.94,53.78
4730256,73.44,30.28,14.57,64.01,80.27,14.65,54.59
4092917,73.46,31,13.53,67.63,81.4,13.61,56.97
5035000,74.11,30.98,13.52,65.49,79.19,13.52,50.98
4948141,73.88,31.22,13.56,67.73,79,13.73,53.16
4330751,74.31,30.75,13.47,65.91,79.29,13.47,51.6
3964333,74.12,31.14,13.47,66.92,78.7,13.55,48.85
5767800,74.56,31.34,12.75,62.39,75.87,12.84,50.61
57500000,70,30.33,29.63,85.19,81.48,29.63,25
4880606,74.59,30.89,12.93,61.38,76.05,12.93,50.47
4048500,74.1,30.05,13.14,60.93,78.92,13.14,55.3
3858601,73.86,31.29,11.83,66.98,81.27,11.83,56.25
4167361,73.15,30.98,13,68.66,82.39,13,55.52
