a,b,c,d,e,f,g,h,i
a,1,1,4,3,0,1,4,4
a,1,1,4,3,0,0,3,4
a,1,1,4,0,0,0,3,4
a,1,1,1,1,0,0,0,4
a,1,1,3,0,0,1,3,2
a,1,1,3,3,0,4,4,3
a,1,1,1,1,0,0,0,4
a,1,1,3,3,0,3,4,3
a,1,1,2,2,0,0,3,4
a,1,1,4,1,0,0,3,3
a,0,1,1,1,0,0,3,2
a,1,1,4,1,0,2,4,0
a,1,1,2,0,0,0,3,2
a,1,1,2,2,0,0,3,0
a,1,1,2,3,0,1,3,1
a,1,1,4,0,0,0,4,4
a,0,1,3,1,4,0,3,4
a,1,1,2,0,0,0,3,3
a,1,1,4,0,0,2,4,1
a,1,1,2,0,3,0,2,4
a,1,1,2,1,0,0,0,4
a,1,1,1,0,0,2,4,0
b,1,1,4,1,0,0,0,2
b,1,1,3,1,0,2,4,4
b,1,1,2,2,4,0,3,4
b,1,1,3,1,0,0,0,2
b,1,1,1,3,4,0,3,1
b,1,1,3,1,0,0,3,3
b,0,1,2,1,0,1,4,1
b,1,1,2,1,3,1,4,2
b,1,1,3,1,0,1,3,1
b,1,1,2,0,4,0,3,4
b,1,1,2,0,4,0,3,2
b,1,1,3,0,0,0,0,3
b,0,1,3,0,4,0,3,4
b,1,1,3,1,0,0,0,4
b,1,1,1,1,3,0,2,4
b,1,1,4,1,0,0,4,4
b,1,1,4,2,0,0,4,2
b,1,1,1,0,0,0,3,2
c,1,1,1,0,0,0,4,2
c,1,1,2,2,4,0,3,4
c,1,1,2,2,0,0,3,3
c,1,1,2,1,0,0,0,4
c,1,1,2,0,0,0,0,2
c,1,1,2,1,4,0,3,4
c,1,1,2,1,4,0,3,0
c,1,1,2,1,0,0,4,2
c,1,1,4,1,3,0,2,2
c,1,1,4,0,3,0,2,4
c,1,1,4,1,0,0,0,2
c,0,1,2,1,0,1,4,2
c,1,1,2,2,0,0,0,1
c,1,1,4,1,3,0,2,2
c,1,1,3,0,1,0,0,3
c,1,1,2,0,4,0,3,4
c,1,1,1,1,4,0,3,4
c,1,1,2,0,0,0,4,1
c,0,1,2,2,0,3,3,4
c,1,1,2,0,0,0,3,2
c,0,1,3,1,0,0,3,2
c,1,1,4,0,0,0,3,1
c,1,1,4,1,0,0,4,1
c,1,1,2,0,4,0,3,1
c,1,1,2,1,4,0,3,1
c,1,1,4,1,4,0,3,4
c,1,1,2,1,0,0,4,2
c,1,1,2,1,4,0,3,4
c,1,0,1,1,3,0,2,4
c,1,1,3,1,0,1,3,1
c,1,0,3,0,0,0,0,3
c,1,1,2,1,4,0,3,4
c,1,1,3,1,0,0,4,2
c,1,1,2,0,0,0,3,1
c,1,1,3,0,3,0,2,2
c,1,1,3,1,3,0,4,2
c,1,1,2,3,4,0,3,4
c,0,1,1,0,0,0,0,2
c,1,1,2,1,0,2,4,3
c,1,1,2,1,0,0,4,1
c,1,1,2,0,0,0,0,2
c,1,0,2,0,0,0,0,2
c,1,1,2,0,0,0,3,2
c,1,1,1,0,0,4,4,1
c,1,1,3,3,0,0,0,3
c,1,1,2,1,3,0,2,4
c,1,1,1,1,0,4,4,2
c,1,1,4,2,0,0,4,4
c,1,1,1,0,0,0,0,0
c,1,1,2,0,0,4,4,2
c,1,1,3,1,0,1,4,1
c,1,1,4,0,4,0,3,1
c,0,1,2,2,0,1,4,1
c,1,1,2,2,4,0,3,1
c,1,1,2,2,0,0,3,3
c,1,1,3,0,3,0,2,2
c,0,1,1,0,0,0,0,0
c,1,1,2,0,0,1,0,1
d,0,1,2,0,3,0,2,1
d,1,1,4,1,0,0,0,2
d,1,1,2,4,0,2,4,1
d,1,1,2,0,0,0,3,3
d,1,1,2,0,4,0,3,2
d,1,1,2,0,3,0,2,4
d,1,1,1,1,0,0,1,1
d,1,1,2,3,4,0,3,4
d,0,1,1,0,0,0,0,2
d,1,1,3,1,0,3,4,2
d,1,1,4,0,0,1,4,1
d,1,1,4,0,3,0,2,1
d,1,1,2,0,3,0,2,2
d,1,1,3,1,4,0,3,4
d,1,1,1,1,0,0,4,4
d,1,1,3,1,0,0,4,2
d,1,1,1,0,0,2,0,3
d,1,1,1,0,0,0,0,4
d,1,1,1,1,0,0,0,2
d,1,1,4,0,0,1,0,3
d,1,1,2,1,3,0,2,0
d,1,1,4,1,3,0,2,4
d,1,1,2,0,3,0,2,2
d,1,1,1,1,0,0,3,3
d,1,1,2,0,0,0,3,2
d,1,1,2,0,0,0,4,4
d,0,1,1,0,0,2,3,1
d,1,1,3,1,0,0,4,3
d,1,1,2,0,4,0,3,3
d,1,1,2,1,0,0,4,1
d,1,1,1,0,0,0,4,4
d,1,1,2,0,0,1,4,0
d,1,1,3,0,0,0,0,4
d,1,1,1,1,3,0,2,4
d,1,1,4,1,4,0,3,2
d,1,1,4,0,0,0,0,4
d,1,0,4,0,3,0,4,2
d,0,1,1,0,0,1,3,2
d,1,1,4,0,3,0,2,4
d,1,1,2,0,0,0,0,1
d,1,1,1,0,0,2,3,3
d,1,0,4,1,3,0,4,2
d,1,0,3,0,0,0,3,2
e,1,1,1,0,0,0,4,1
e,1,1,2,1,0,0,0,0
e,1,1,2,1,0,2,4,3
e,1,1,1,1,0,1,4,2
e,1,0,4,1,3,0,4,2
e,0,1,1,1,0,1,4,1
e,0,1,2,0,0,0,4,3
e,1,1,3,0,0,0,3,2
e,1,1,1,0,3,0,2,4
e,1,1,4,0,0,0,4,1
e,1,1,2,0,0,0,0,1
e,1,1,2,0,0,0,4,2
e,0,1,2,0,0,1,0,2
e,1,1,4,0,4,0,3,4
e,1,1,2,0,0,1,0,3
e,1,1,4,1,3,0,2,1
e,1,1,2,0,0,1,1,3
e,0,1,3,0,3,0,2,3
e,1,1,2,0,3,0,4,2
e,1,1,1,0,0,0,4,0
e,1,1,2,0,0,1,4,0
e,1,1,4,0,0,0,0,4
e,0,1,2,0,4,0,3,4
e,1,1,2,0,3,0,2,1
e,1,1,1,0,3,0,2,1
e,1,0,4,0,3,0,4,2
e,1,1,3,2,4,0,3,1
e,1,1,3,0,3,0,4,2
e,0,1,3,0,0,0,0,2
e,1,1,3,0,4,0,3,2
e,1,1,1,0,0,0,4,1
e,1,1,3,0,4,0,3,2
e,1,1,1,0,0,0,3,2
e,1,0,2,0,0,0,4,2
e,1,0,3,0,0,0,0,2
e,1,1,3,0,0,0,0,3
e,1,1,2,1,3,0,2,4
e,1,1,2,0,0,0,1,2
e,1,1,3,0,4,0,3,2
e,0,1,1,1,4,0,3,4
e,1,1,2,0,0,0,0,1
e,1,1,1,0,0,0,4,2
e,1,1,1,0,0,0,4,2
e,1,1,2,0,0,4,4,2
e,1,1,3,0,0,0,4,2
e,1,1,2,1,0,1,0,4
e,1,1,1,1,4,0,3,1
e,0,1,2,0,0,0,0,1
e,1,0,3,1,3,0,4,2
e,1,1,2,0,3,0,2,4
e,0,1,2,0,0,1,4,1
e,1,1,2,0,3,0,2,3
e,1,1,2,0,0,0,4,4
e,1,0,2,0,0,0,4,2
e,1,1,3,0,0,1,0,3
e,1,0,1,0,0,0,0,2
e,1,1,2,0,3,0,2,1
e,1,0,1,0,0,0,0,2
e,1,0,3,0,0,0,0,2
e,1,0,3,0,3,0,4,2
e,1,1,1,0,4,0,3,3
e,0,1,2,0,0,0,3,2
e,0,1,1,0,4,0,3,2
e,0,1,3,0,0,0,3,2
e,1,0,2,0,0,0,3,2
e,1,1,3,1,4,0,3,2
e,0,0,3,0,1,0,0,1
e,1,1,2,0,4,0,3,1
e,1,1,1,0,0,0,0,3
e,0,0,3,0,0,0,0,4
e,1,1,1,0,3,0,2,3
e,1,1,1,0,4,0,3,2
e,0,1,2,0,3,0,2,2
e,1,1,1,4,4,0,3,2
e,1,1,1,0,0,0,0,2
e,0,1,4,0,0,0,4,4
e,1,0,2,0,0,0,0,4
e,1,1,3,0,0,0,0,2
e,1,1,2,0,0,0,3,2
e,1,0,1,0,0,0,0,2
e,0,1,2,0,0,1,0,2
e,1,1,1,0,0,0,0,2
